seed,k,N,depth,xcoord,dist
0,7,7168,26,0.11607142857142858,0.2012765109539032
0,7,7168,27,0.12053571428571429,0.19994735717773438
0,7,7168,28,0.125,0.19922442734241486
0,7,7168,29,0.12946428571428573,0.19526225328445435
0,7,7168,30,0.13392857142857142,0.18991239368915558
0,7,7168,31,0.13839285714285715,0.182980015873909
0,7,7168,32,0.14285714285714285,0.18315152823925018
0,8,8192,16,0.0625,0.12821386754512787
0,8,8192,17,0.06640625,0.1344911903142929
0,8,8192,18,0.0703125,0.15081526339054108
0,8,8192,19,0.07421875,0.15027175843715668
0,8,8192,20,0.078125,0.15632739663124084
0,8,8192,21,0.08203125,0.16412353515625
0,8,8192,22,0.0859375,0.17523086071014404
0,8,8192,23,0.08984375,0.1735079288482666
0,8,8192,24,0.09375,0.18396924436092377
0,8,8192,25,0.09765625,0.1965256929397583
0,8,8192,26,0.1015625,0.18475434184074402
0,8,8192,27,0.10546875,0.187286838889122
0,8,8192,28,0.109375,0.2036072015762329
0,8,8192,29,0.11328125,0.21100136637687683
0,8,8192,30,0.1171875,0.20085720717906952
0,8,8192,31,0.12109375,0.19708339869976044
0,8,8192,32,0.125,0.20469172298908234
0,9,9216,16,0.05555555555555555,0.11232145130634308
0,9,9216,17,0.059027777777777776,0.12380114197731018
0,9,9216,18,0.0625,0.1255231648683548
0,9,9216,19,0.06597222222222222,0.12693989276885986
0,9,9216,20,0.06944444444444445,0.13856147229671478
0,9,9216,21,0.07291666666666667,0.1440594643354416
0,9,9216,22,0.0763888888888889,0.1469574123620987
0,9,9216,23,0.0798611111111111,0.1480623185634613
0,9,9216,24,0.08333333333333333,0.14160306751728058
0,9,9216,25,0.08680555555555555,0.14526516199111938
0,9,9216,26,0.09027777777777778,0.1562105417251587
0,9,9216,27,0.09375,0.15263403952121735
0,9,9216,28,0.09722222222222222,0.15980254113674164
0,9,9216,29,0.10069444444444445,0.16679690778255463
0,9,9216,30,0.10416666666666667,0.1602025181055069
0,9,9216,31,0.1076388888888889,0.16563253104686737
0,9,9216,32,0.1111111111111111,0.1868094503879547
0,10,10240,16,0.05,0.11057981103658676
0,10,10240,17,0.053125,0.1203264445066452
0,10,10240,18,0.05625,0.12526598572731018
0,10,10240,19,0.059375,0.11528359353542328
0,10,10240,20,0.0625,0.11406809091567993
0,10,10240,21,0.065625,0.11595627665519714
0,10,10240,22,0.06875,0.13327889144420624
0,10,10240,23,0.071875,0.12610001862049103
0,10,10240,24,0.075,0.11374661326408386
0,10,10240,25,0.078125,0.12720820307731628
0,10,10240,26,0.08125,0.13467906415462494
0,10,10240,27,0.084375,0.13621795177459717
0,10,10240,28,0.0875,0.1366267055273056
0,10,10240,29,0.090625,0.13366660475730896
0,10,10240,30,0.09375,0.13461904227733612
0,10,10240,31,0.096875,0.1345614790916443
0,10,10240,32,0.1,0.1495702713727951
1,1,1024,16,0.5,0.3024981915950775
1,1,1024,17,0.53125,0.30343592166900635
1,1,1024,18,0.5625,0.34343013167381287
1,1,1024,19,0.59375,0.3650418519973755
1,1,1024,20,0.625,0.3552498519420624
1,1,1024,21,0.65625,0.3830775022506714
1,1,1024,22,0.6875,0.44177621603012085
1,1,1024,23,0.71875,0.4531976878643036
1,1,1024,24,0.75,0.42452120780944824
1,1,1024,25,0.78125,0.4657273590564728
1,1,1024,26,0.8125,0.4779210388660431
1,1,1024,27,0.84375,0.563596248626709
1,1,1024,28,0.875,0.5966687798500061
1,1,1024,29,0.90625,0.5620926022529602
1,1,1024,30,0.9375,0.5246695280075073
1,1,1024,31,0.96875,0.516046941280365
1,1,1024,32,1.0,0.4853890538215637
1,2,2048,16,0.25,0.22875717282295227
1,2,2048,17,0.265625,0.23563824594020844
1,2,2048,18,0.28125,0.22569577395915985
1,2,2048,19,0.296875,0.21521204710006714
1,2,2048,20,0.3125,0.21192164719104767
1,2,2048,21,0.328125,0.210198774933815
1,2,2048,22,0.34375,0.20702211558818817
1,2,2048,23,0.359375,0.19361215829849243
